timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:37:56.342, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 51, 116.66 W, 250.00 W, Enabled
2025/04/13 21:38:01.346, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 21 %, 51, 71.64 W, 250.00 W, Enabled
2025/04/13 21:38:06.350, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 21 %, 51, 128.55 W, 250.00 W, Enabled
2025/04/13 21:38:11.354, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 91 %, 26 %, 51, 89.31 W, 250.00 W, Enabled
2025/04/13 21:38:16.360, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 51, 116.90 W, 250.00 W, Enabled
2025/04/13 21:38:21.364, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 94 %, 20 %, 51, 85.23 W, 250.00 W, Enabled
2025/04/13 21:38:26.368, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 20 %, 51, 93.21 W, 250.00 W, Enabled
2025/04/13 21:38:31.372, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 51, 121.93 W, 250.00 W, Enabled
2025/04/13 21:38:36.376, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 22 %, 52, 98.51 W, 250.00 W, Enabled
2025/04/13 21:38:41.384, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 94 %, 22 %, 52, 97.59 W, 250.00 W, Enabled
2025/04/13 21:38:46.388, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 86 %, 19 %, 52, 118.77 W, 250.00 W, Enabled
2025/04/13 21:38:51.393, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 85 %, 25 %, 52, 124.38 W, 250.00 W, Enabled
2025/04/13 21:38:56.397, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 80 %, 22 %, 52, 100.91 W, 250.00 W, Enabled
2025/04/13 21:39:01.401, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 91 %, 24 %, 51, 61.92 W, 250.00 W, Enabled
2025/04/13 21:39:06.408, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 20 %, 51, 85.46 W, 250.00 W, Enabled
2025/04/13 21:39:11.412, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 90 %, 25 %, 52, 114.96 W, 250.00 W, Enabled
2025/04/13 21:39:16.417, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 90 %, 24 %, 52, 120.95 W, 250.00 W, Enabled
2025/04/13 21:39:21.421, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 66 %, 19 %, 51, 119.39 W, 250.00 W, Enabled
